20221110_1800438,29210,BASE,7,0.0,0.01,0.0,0.4231,35.5181,14862.9844,100,1099
20221110_1801007,29210,TRAN,1,0.0,0.01,0.0,0.2156,13.4711,364.0161,100,565377
20221110_1802324,29210,BASE,7,0.0,0.01,0.2,0.4231,35.5181,14863.0306,100,1099
20221110_1801174,29210,TRAN,1,0.0,0.01,0.0,0.2156,13.4711,364.0161,100,565377
20221110_1804172,29210,BASE,7,0.0,0.01,0.4,0.4231,35.518,14863.0712,100,1099
20221110_1803533,29210,TRAN,1,0.0,0.01,0.2,0.2611,19.7629,17214.6739,100,565377
20221110_1804180,29210,TRAN,1,0.0,0.01,0.2,0.2611,19.7629,17214.6739,100,565377
20221110_1805592,29210,BASE,7,0.0,0.01,0.6,0.4231,35.518,14863.1331,100,1099
20221110_1807442,29210,BASE,7,0.0,0.001,0.0,0.6847,48.1104,14835.1686,100,1099
20221110_1807048,29210,TRAN,1,0.0,0.01,0.4,0.5432,34.0817,9889.2258,100,565377
20221110_1807289,29210,TRAN,1,0.0,0.01,0.4,0.5432,34.0817,9889.2258,100,565377
20221110_1809268,29210,BASE,7,0.0,0.001,0.2,0.6398,46.6243,14107.7763,100,1099
20221110_1811091,29210,BASE,7,0.0,0.001,0.4,0.6331,46.1369,13496.7981,100,1099
20221110_1810189,29210,TRAN,1,0.0,0.01,0.6,0.8957,51.9131,82553.9809,100,565377
20221110_1810435,29210,TRAN,1,0.0,0.01,0.6,0.8957,51.9131,82553.9809,100,565377
20221110_1812499,29210,BASE,7,0.0,0.001,0.6,0.6511,45.4528,12637.6992,100,1099
20221110_1814304,29210,BASE,7,0.0,0.0001,0.0,0.5589,40.6594,31230.9278,100,1099
20221110_1813321,29210,TRAN,1,0.0,0.001,0.0,0.076,6.8709,184.7723,100,565377
20221110_1813566,29210,TRAN,1,0.0,0.001,0.0,0.076,6.8709,184.7723,100,565377
20221110_1816097,29210,BASE,7,0.0,0.0001,0.2,0.5947,42.4993,48505.7803,100,1099
20221110_1817492,29210,BASE,7,0.0,0.0001,0.4,0.6136,43.608,45600.0837,100,1099
20221110_1816254,29210,TRAN,1,0.0,0.001,0.2,0.2136,14.5954,472.7502,100,565377
20221110_1816505,29210,TRAN,1,0.0,0.001,0.2,0.2136,14.5954,472.7502,100,565377
20221110_1819299,29210,BASE,7,0.0,0.0001,0.6,0.6412,44.5787,50695.9369,100,1099
20221110_1819353,29210,TRAN,1,0.0,0.001,0.4,0.3256,21.101,1426.2573,100,565377
20221110_1821097,29210,BASE,7,0.001,0.01,0.0,0.4381,36.1621,14306.3752,100,1099
20221110_1820025,29210,TRAN,1,0.0,0.001,0.4,0.3256,21.101,1426.2573,100,565377
20221110_1822504,29210,BASE,7,0.001,0.01,0.2,0.4381,36.1621,14306.3613,100,1099
20221110_1822461,29210,TRAN,1,0.0,0.001,0.6,0.437,27.7893,5232.8377,100,565377
20221110_1824307,29210,BASE,7,0.001,0.01,0.4,0.4381,36.1619,14306.3657,100,1099
20221110_1823154,29210,TRAN,1,0.0,0.001,0.6,0.437,27.7893,5232.8377,100,565377
20221110_1826131,29210,BASE,7,0.001,0.01,0.6,0.4381,36.1619,14306.3787,100,1099
20221110_1825566,29210,TRAN,1,0.0,0.0001,0.0,0.1531,10.9441,178.0753,100,565377
